時刻表,バス亭名,のりば地図,ID,(乗車)
https://shimabus.busplus.jp/signage/1,奄美空港,"https://www.google.com/maps/place/28.43161,129.707916/@28.43161,129.707916,19z",1.00,
https://shimabus.busplus.jp/signage/2,和野,,2.00,120円
https://shimabus.busplus.jp/signage/3,奄美パーク,,3.00,200円
https://shimabus.busplus.jp/signage/4,奄美パーク入口,,4.00,200円
https://shimabus.busplus.jp/signage/5,節田,,5.00,200円
https://shimabus.busplus.jp/signage/6,笠寿園前,,6.00,200円
https://shimabus.busplus.jp/signage/7,土浜,,7.00,270円
https://shimabus.busplus.jp/signage/8,用安,,8.00,360円
https://shimabus.busplus.jp/signage/9,ばしゃ山,,9.00,360円
https://shimabus.busplus.jp/signage/10,神の子,,10.00,410円
https://shimabus.busplus.jp/signage/11,東海岸,,11.00,460円
https://shimabus.busplus.jp/signage/12,赤尾木,,12.00,460円
https://shimabus.busplus.jp/signage/13,赤尾木郵便局前,,13.00,460円
https://shimabus.busplus.jp/signage/14,大島特別支援学校前,,14.00,500円
https://shimabus.busplus.jp/signage/15,根原,,15.00,500円
https://shimabus.busplus.jp/signage/16,大島紬村入口,,16.00,570円
https://shimabus.busplus.jp/signage/17,屋入ひさ倉前,"https://www.google.com/maps/place/28.414026,129.601588/@28.414026,129.601588,19z",17.00,570円
https://shimabus.busplus.jp/signage/18,愛寿園前,,18.00,620円
https://shimabus.busplus.jp/signage/19,龍郷町役場前,,19.00,620円
https://shimabus.busplus.jp/signage/20,龍南中学校前,,20.00,630円
https://shimabus.busplus.jp/signage/21,大勝（国道沿い）,,21.00,690円
https://shimabus.busplus.jp/signage/22,戸口入口,,22.00,730円
https://shimabus.busplus.jp/signage/23,ビッグⅡ前,"https://www.google.com/maps/place/28.382362,129.582787/@28.382362,129.582787,19z",23.00,730円
https://shimabus.busplus.jp/signage/24,中勝町営住宅前,,24.00,770円
https://shimabus.busplus.jp/signage/25,中勝（国道沿い）,,25.00,770円
https://shimabus.busplus.jp/signage/26,中勝入口（国道沿い）,,26.00,770円
https://shimabus.busplus.jp/signage/27,パーラーＮ１前,,27.00,930円
https://shimabus.busplus.jp/signage/28,竹ノ当橋,,28.00,930円
https://shimabus.busplus.jp/signage/29,有盛神社前,,29.00,960円
https://shimabus.busplus.jp/signage/30,浦上農業試験場前,,30.00,960円
https://shimabus.busplus.jp/signage/31,だいわ大熊店前,,31.00,980円
https://shimabus.busplus.jp/signage/32,輪内保育所前,,32.00,1010円
https://shimabus.busplus.jp/signage/33,鳩浜団地,,33.00,1010円
https://shimabus.busplus.jp/signage/34,鳩浜,,34.00,1010円
